path_x path_y path_z
-14.273800 14.269400 0.000000
-14.267800 14.268500 0.000000
-14.262800 14.268300 0.000000
-14.257800 14.268100 0.000000
-14.252800 14.268000 0.000000
-14.247800 14.267800 0.000000
-14.242800 14.267700 0.000000
-14.237800 14.267500 0.000000
-14.232800 14.267400 0.000000
-14.227800 14.267300 0.000000
-14.222800 14.267200 0.000000
-14.217800 14.267100 0.000000
-14.212800 14.267000 0.000000
-14.207800 14.266900 0.000000
-14.202800 14.266800 0.000000
-14.197800 14.266767 0.000000
-14.192800 14.266735 0.000000
-14.187800 14.266702 0.000000
-14.182800 14.266670 0.000000
-14.177800 14.266637 0.000000
-14.172800 14.266604 0.000000
-14.167800 14.266572 0.000000
-14.162800 14.266539 0.000000
-14.157800 14.266507 0.000000
-14.152800 14.266474 0.000000
-14.147800 14.266441 0.000000
-14.142800 14.266409 0.000000
-14.137800 14.266376 0.000000
-14.132800 14.266343 0.000000
-14.127800 14.266311 0.000000
-14.122800 14.266278 0.000000
-14.117800 14.266246 0.000000
-14.112800 14.266213 0.000000
-14.107800 14.266180 0.000000
-14.102800 14.266148 0.000000
-14.097800 14.266115 0.000000
-14.092800 14.266083 0.000000
-14.087800 14.266050 0.000000
-14.082800 14.266017 0.000000
-14.077800 14.265985 0.000000
-14.072800 14.265952 0.000000
-14.067800 14.265920 0.000000
-15.035455 -284.018058 0.000000
-15.013437 -284.018200 0.000000
-14.991419 -284.018339 0.000000
-14.969401 -284.018475 0.000000
-14.947383 -284.018607 0.000000
-14.925365 -284.018736 0.000000
-14.903347 -284.018862 0.000000
-14.881329 -284.018984 0.000000
-14.859311 -284.019103 0.000000
-14.837293 -284.019219 0.000000
-14.815275 -284.019332 0.000000
-14.793257 -284.019441 0.000000
-14.771239 -284.019548 0.000000
-14.749220 -284.019651 0.000000
-14.727202 -284.019750 0.000000
-14.705184 -284.019847 0.000000
-14.683166 -284.019940 0.000000
-14.661148 -284.020030 0.000000
-14.639130 -284.020117 0.000000
-14.617111 -284.020200 0.000000
-14.595093 -284.020280 0.000000
-14.573075 -284.020357 0.000000
-14.551057 -284.020431 0.000000
-14.529039 -284.020501 0.000000
-14.507020 -284.020569 0.000000
-14.485002 -284.020633 0.000000
-14.462984 -284.020693 0.000000
-14.440966 -284.020751 0.000000
-14.418947 -284.020805 0.000000
-14.396929 -284.020856 0.000000
-14.374911 -284.020904 0.000000
-14.352892 -284.020948 0.000000
-14.330874 -284.020989 0.000000
-14.308856 -284.021027 0.000000
-14.286837 -284.021062 0.000000
-14.264819 -284.021093 0.000000
-14.242801 -284.021122 0.000000
-13.877800 14.265190 0.000000
-13.872800 14.265188 0.000000
-13.867800 14.265186 0.000000
-13.862800 14.265184 0.000000
-13.857800 14.265183 0.000000
-13.852800 14.265181 0.000000
-13.847800 14.265179 0.000000
-13.842800 14.265178 0.000000
-13.837800 14.265176 0.000000
-13.832800 14.265174 0.000000
-13.827800 14.265172 0.000000
-13.822800 14.265171 0.000000
-13.817800 14.265169 0.000000
-13.812800 14.265167 0.000000
-13.807800 14.265166 0.000000
-13.802800 14.265164 0.000000
-13.797800 14.265162 0.000000
-13.792800 14.265160 0.000000
-13.787800 14.265159 0.000000
-13.782800 14.265157 0.000000
-13.777800 14.265155 0.000000
-13.772800 14.265153 0.000000
-13.767800 14.265152 0.000000
-13.762800 14.265150 0.000000
-13.757800 14.265148 0.000000
-13.752800 14.265147 0.000000
-13.747800 14.265145 0.000000
-13.742800 14.265143 0.000000
-13.737800 14.265141 0.000000
-13.732800 14.265140 0.000000
-13.727800 14.265138 0.000000
-13.722800 14.265136 0.000000
-13.717800 14.265134 0.000000
-13.712800 14.265133 0.000000
-14.530214 -4755.734888 0.000000
-14.512369 -4755.734894 0.000000
-14.494524 -4755.734900 0.000000
-14.476679 -4755.734906 0.000000
-14.458835 -4755.734912 0.000000
-14.440990 -4755.734917 0.000000
-14.423145 -4755.734923 0.000000
-14.405300 -4755.734928 0.000000
-14.387455 -4755.734933 0.000000
-14.369610 -4755.734938 0.000000
-14.351766 -4755.734943 0.000000
-14.333921 -4755.734948 0.000000
-14.316076 -4755.734952 0.000000
-14.298231 -4755.734957 0.000000
-14.280386 -4755.734961 0.000000
-14.262541 -4755.734966 0.000000
-14.244697 -4755.734970 0.000000
-14.226852 -4755.734974 0.000000
-14.209007 -4755.734977 0.000000
-14.191162 -4755.734981 0.000000
-14.173317 -4755.734985 0.000000
-14.155472 -4755.734988 0.000000
-14.137628 -4755.734991 0.000000
-14.119783 -4755.734994 0.000000
-14.101938 -4755.734997 0.000000
-14.084093 -4755.735000 0.000000
-14.066248 -4755.735003 0.000000
-14.048403 -4755.735006 0.000000
-14.030559 -4755.735008 0.000000
-14.012714 -4755.735011 0.000000
-13.994869 -4755.735013 0.000000
-5.237034 -4755.727830 0.000000
3.520773 -4755.704566 0.000000
12.278523 -4755.665221 0.000000
21.036186 -4755.609795 0.000000
29.793732 -4755.538289 0.000000
38.551132 -4755.450703 0.000000
47.308356 -4755.347036 0.000000
56.065376 -4755.227290 0.000000
64.822160 -4755.091464 0.000000
73.578681 -4754.939560 0.000000
82.334908 -4754.771577 0.000000
91.090812 -4754.587517 0.000000
99.846362 -4754.387379 0.000000
108.601531 -4754.171165 0.000000
117.356288 -4753.938875 0.000000
126.110604 -4753.690511 0.000000
134.864449 -4753.426072 0.000000
143.617793 -4753.145560 0.000000
152.370608 -4752.848975 0.000000
161.122863 -4752.536320 0.000000
169.874530 -4752.207594 0.000000
178.625578 -4751.862799 0.000000
187.375978 -4751.501936 0.000000
196.125701 -4751.125006 0.000000
204.874717 -4750.732011 0.000000
213.622997 -4750.322952 0.000000
222.370511 -4749.897830 0.000000
231.117229 -4749.456647 0.000000
239.863123 -4748.999403 0.000000
248.608162 -4748.526102 0.000000
257.352318 -4748.036744 0.000000
266.095560 -4747.531331 0.000000
274.837859 -4747.009864 0.000000
283.579187 -4746.472346 0.000000
292.319512 -4745.918778 0.000000
301.058806 -4745.349162 0.000000
309.797040 -4744.763501 0.000000
318.534184 -4744.161795 0.000000
327.270208 -4743.544047 0.000000
336.005083 -4742.910259 0.000000
344.738779 -4742.260434 0.000000
353.471268 -4741.594573 0.000000
362.202519 -4740.912678 0.000000
370.932503 -4740.214753 0.000000
379.661191 -4739.500799 0.000000
388.388554 -4738.770819 0.000000
397.114561 -4738.024814 0.000000
405.839184 -4737.262789 0.000000
414.562393 -4736.484745 0.000000
423.284159 -4735.690685 0.000000
432.004452 -4734.880611 0.000000
440.723242 -4734.054526 0.000000
449.440502 -4733.212434 0.000000
458.156200 -4732.354337 0.000000
466.870308 -4731.480237 0.000000
475.582796 -4730.590139 0.000000
484.293635 -4729.684044 0.000000
493.002796 -4728.761955 0.000000
501.710249 -4727.823877 0.000000
510.415965 -4726.869812 0.000000
519.119914 -4725.899763 0.000000
527.822067 -4724.913734 0.000000
536.522396 -4723.911728 0.000000
545.220869 -4722.893748 0.000000
553.917459 -4721.859797 0.000000
562.612136 -4720.809880 0.000000
571.304870 -4719.744000 0.000000
579.995632 -4718.662160 0.000000
588.684393 -4717.564364 0.000000
597.371124 -4716.450616 0.000000
606.055795 -4715.320919 0.000000
614.738377 -4714.175277 0.000000
623.418841 -4713.013695 0.000000
632.097158 -4711.836175 0.000000
640.773297 -4710.642723 0.000000
649.447231 -4709.433342 0.000000
658.118929 -4708.208035 0.000000
666.788363 -4706.966808 0.000000
675.455503 -4705.709664 0.000000
684.120320 -4704.436608 0.000000
692.782785 -4703.147644 0.000000
701.442869 -4701.842777 0.000000
710.100542 -4700.522010 0.000000
718.755775 -4699.185348 0.000000
727.408539 -4697.832795 0.000000
736.058805 -4696.464357 0.000000
744.706544 -4695.080038 0.000000
753.351727 -4693.679843 0.000000
761.994324 -4692.263775 0.000000
770.634306 -4690.831841 0.000000
779.271644 -4689.384044 0.000000
787.906309 -4687.920390 0.000000
796.538272 -4686.440884 0.000000
805.167504 -4684.945530 0.000000
813.793976 -4683.434334 0.000000
822.417658 -4681.907301 0.000000
831.038522 -4680.364435 0.000000
839.656539 -4678.805743 0.000000
848.271678 -4677.231229 0.000000
856.883913 -4675.640899 0.000000
865.493212 -4674.034758 0.000000
874.099548 -4672.412811 0.000000
882.702891 -4670.775064 0.000000
891.303212 -4669.121523 0.000000
899.900483 -4667.452193 0.000000
908.494674 -4665.767079 0.000000
917.085756 -4664.066188 0.000000
925.673701 -4662.349524 0.000000
934.258479 -4660.617095 0.000000
942.840062 -4658.868905 0.000000
951.418420 -4657.104961 0.000000
959.993525 -4655.325268 0.000000
968.565347 -4653.529833 0.000000
977.133859 -4651.718662 0.000000
985.699030 -4649.891760 0.000000
994.260832 -4648.049134 0.000000
1002.819236 -4646.190790 0.000000
1011.374214 -4644.316735 0.000000
1019.925736 -4642.426974 0.000000
1028.473774 -4640.521514 0.000000
1037.018299 -4638.600362 0.000000
1045.559281 -4636.663523 0.000000
1054.096693 -4634.711005 0.000000
1062.630505 -4632.742814 0.000000
1071.160689 -4630.758957 0.000000
1079.687216 -4628.759440 0.000000
1088.210057 -4626.744270 0.000000
1096.729183 -4624.713454 0.000000
1105.244566 -4622.666999 0.000000
1113.756177 -4620.604911 0.000000
1122.263988 -4618.527198 0.000000
1130.767968 -4616.433867 0.000000
1139.268091 -4614.324924 0.000000
1147.764327 -4612.200377 0.000000
1156.256648 -4610.060233 0.000000
1164.745025 -4607.904499 0.000000
1173.229429 -4605.733183 0.000000
1181.709832 -4603.546291 0.000000
1190.186205 -4601.343831 0.000000
1198.658519 -4599.125811 0.000000
1207.126747 -4596.892238 0.000000
1215.590859 -4594.643120 0.000000
1224.050827 -4592.378463 0.000000
1232.506622 -4590.098277 0.000000
1240.958217 -4587.802568 0.000000
1249.405581 -4585.491344 0.000000
1257.848688 -4583.164613 0.000000
1266.287508 -4580.822382 0.000000
1274.722013 -4578.464661 0.000000
1283.152175 -4576.091456 0.000000
1291.577965 -4573.702776 0.000000
1299.999355 -4571.298629 0.000000
1308.416316 -4568.879022 0.000000
1316.828819 -4566.443965 0.000000
1325.236838 -4563.993464 0.000000
1333.640343 -4561.527530 0.000000
1342.039305 -4559.046169 0.000000
1350.433698 -4556.549390 0.000000
1358.823491 -4554.037201 0.000000
1367.208658 -4551.509612 0.000000
1375.589169 -4548.966630 0.000000
1383.964997 -4546.408265 0.000000
1392.336113 -4543.834524 0.000000
1400.702490 -4541.245416 0.000000
1409.064098 -4538.640951 0.000000
1417.420909 -4536.021137 0.000000
1425.772896 -4533.385982 0.000000
1434.120031 -4530.735496 0.000000
1442.462284 -4528.069688 0.000000
1450.799629 -4525.388566 0.000000
1459.132036 -4522.692140 0.000000
1467.459478 -4519.980419 0.000000
