path_x path_y path_z path_theta
-14.273800 14.169400 0.000000 0.000000
-14.237324 14.367550 0.000000 -0.054784
-14.215133 14.167027 0.000000 -0.023329
-14.156346 14.366189 0.000000 -0.014544
-14.128467 14.166002 0.000000 -0.006667
-14.096800 14.365695 0.000000 -0.010000
-14.043164 14.165501 0.000000 -0.003636
-13.987436 14.365299 0.000000 -0.003636
-13.958133 14.165201 0.000000 -0.003333
-13.902618 14.365100 0.000000 -0.001818
-13.897800 14.165100 0.000000 0.000000
-13.842800 14.365100 0.000000 0.000000
-13.737800 14.165100 0.000000 0.000000
-13.682800 14.365100 0.000000 0.000000
-13.627800 14.165100 0.000000 0.000000
-13.597467 14.364999 0.000000 -0.003333
-13.492800 14.165000 0.000000 0.000000
-13.387800 14.365000 0.000000 0.000000
-13.282800 14.165000 0.000000 0.000000
-13.177800 14.365000 0.000000 0.000000
-13.072800 14.165000 0.000000 0.000000
-12.967800 14.365000 0.000000 0.000000
-12.862800 14.165000 0.000000 0.000000
-12.757800 14.365000 0.000000 0.000000
-12.652800 14.165000 0.000000 0.000000
-12.547800 14.365000 0.000000 0.000000
-12.442800 14.165000 0.000000 0.000000
-12.387800 14.365000 0.000000 0.000000
-12.332800 14.165000 0.000000 0.000000
-12.277618 14.364900 0.000000 -0.001818
-12.222982 14.164800 0.000000 -0.001818
-12.167436 14.364599 0.000000 -0.003636
-12.113891 14.164006 0.000000 -0.010909
-12.081134 14.363486 0.000000 -0.016665
-12.055133 14.162827 0.000000 -0.023329
-12.019224 14.361632 0.000000 -0.036773
-11.998558 14.160160 0.000000 -0.056606
-11.954668 14.357152 0.000000 -0.083418
-11.945193 14.154622 0.000000 -0.120223
-11.890809 14.349291 0.000000 -0.127255
-11.886677 14.147046 0.000000 -0.130133
-11.831967 14.341873 0.000000 -0.120624
-11.824083 14.140100 0.000000 -0.100000
-11.776530 14.337005 0.000000 -0.076772
-11.760642 14.135601 0.000000 -0.063460
-11.716399 14.332679 0.000000 -0.080096
-11.713871 14.129116 0.000000 -0.190868
-11.634777 14.312635 0.000000 -0.322807
-11.665084 14.113422 0.000000 -0.277382
-11.592045 14.303519 0.000000 -0.160231
-11.590991 14.101809 0.000000 -0.127255
-11.535851 14.296397 0.000000 -0.126832
-11.531162 14.094267 0.000000 -0.123941
